Wall time,Step,Value
1623332196,5,0.339759022
1623332199,6,0.446850002
1623332214,10,0.498280138
1623332218,11,0.58510071
1623332226,13,0.550887525
1623332229,14,0.53985101
1623332233,15,0.599779248
1623332240,17,0.613722086
1623332244,18,0.433109552
1623332248,19,0.554272056
1623332252,20,0.633477449
1623332266,24,0.610834181
1623332300,33,0.688935876
1623332303,34,0.684024632
1623332311,36,0.710070789
1623332322,39,0.614292264
1623332326,40,0.57667619
1623332333,42,0.632061064
1623332340,44,0.718771279
1623332344,45,0.710659444
1623332352,47,0.722615659
1623332359,49,0.690205097
1623332363,50,0.686894119
1623332374,53,0.719562232
1623332377,54,0.711597562
1623332381,55,0.712094188
1623332385,56,0.727103829
1623332388,57,0.722523689
1623332400,60,0.675747275
1623332403,61,0.675121844
1623332411,63,0.739335954
1623332418,65,0.712848365
1623332422,66,0.68715167
1623332425,67,0.717502058
1623332429,68,0.743934512
1623332440,71,0.738765776
1623332444,72,0.747153521
1623332448,73,0.607523203
1623332451,74,0.569907129
1623332459,76,0.719083965
1623332470,79,0.736172199
1623332488,84,0.741396129
1623332492,85,0.676630199
1623332496,86,0.720371544
1623332499,87,0.723075509
1623332503,88,0.738931298
1623332507,89,0.708194613
1623332525,94,0.726607203
1623332555,102,0.761537731
1623332566,105,0.743879318
1623332569,106,0.745553195
1623332595,113,0.758815408
1623332606,116,0.765510917
1623332614,118,0.792771101
1623332618,119,0.769226551
1623332621,120,0.760838747
1623332636,124,0.758760214
1623332640,125,0.766780078
1623332644,126,0.790343046
1623332655,129,0.76227355
1623332658,130,0.767000854
1623332669,133,0.768104494
1623332684,137,0.759606361
1623332691,139,0.448395103
1623332699,141,0.63320148
1623332703,142,0.683803916
1623332706,143,0.689211786
1623332710,144,0.617069781
1623332725,148,0.752156734
1623332732,150,0.69200772
1623332743,153,0.752598166
1623332747,154,0.738158762
1623332751,155,0.751917601
1623332758,157,0.709960461
1623332762,158,0.75338912
1623332765,159,0.738857746
1623332776,162,0.765069425
1623332784,164,0.657739341
1623332788,165,0.709555805
1623332795,167,0.723259449
1623332799,168,0.744762242
1623332810,171,0.764057755
1623332828,176,0.763046086
1623332832,177,0.765860379
1623332835,178,0.734811008
1623332843,180,0.750390887
1623332847,181,0.756810427
1623332854,183,0.731481671
1623332861,185,0.778055727
1623332865,186,0.699199855
1623332869,187,0.736650407
1623332872,188,0.765805185
1623332880,190,0.743327498
1623332883,191,0.745387673
1623332909,198,0.690646529
1623332924,202,0.769079387
1623332939,206,0.763358772
1623332943,207,0.695778549
1623332947,208,0.690094709
1623332961,212,0.779600859
1623332973,215,0.770550907
1623332984,218,0.735601962
1623332987,219,0.780355036
1623332998,222,0.760765195
1623333002,223,0.765768409
1623333010,225,0.767626226
1623333013,226,0.770293415
1623333017,227,0.743327498
1623333024,229,0.779416919
1623333028,230,0.779030621
1623333036,232,0.738508224
1623333039,233,0.767571032
1623333043,234,0.75879705
1623333054,237,0.797001719
1623333065,240,0.778331637
1623333084,245,0.788613975
1623333091,247,0.773254871
1623333098,249,0.768711507
1623333102,250,0.78938657
1623333121,255,0.781366706
1623333132,258,0.803678811
1623333135,259,0.7484411
1623333139,260,0.772096038
1623333143,261,0.776712954
1623333150,263,0.813519716
1623333165,267,0.805849373
1623333173,269,0.64052242
1623333180,271,0.650676012
1623333187,273,0.733284295
1623333206,278,0.753775418
1623333213,280,0.756387353
1623333228,284,0.75265336
1623333246,289,0.738121927
1623333254,291,0.780171037
1623333257,292,0.746785641
1623333268,295,0.77124989
1623333276,297,0.747760534
1623333279,298,0.767442286
1623333283,299,0.7867378
1623333291,301,0.769778371
1623333294,302,0.767902136
1623333298,303,0.773696303
1623333313,307,0.756368995
1623333316,308,0.788522005
1623333324,310,0.764572799
1623333335,313,0.759128094
1623333350,317,0.775866807
1623333353,318,0.777982175
1623333357,319,0.78618598
1623333361,320,0.796468318
1623333368,322,0.716306448
1623333379,325,0.810870945
1623333383,326,0.785339832
1623333387,327,0.793120563
1623333398,330,0.793028593
1623333402,331,0.80561024
1623333409,333,0.818081498
1623333431,339,0.749434352
1623333439,341,0.801655471
1623333450,344,0.810116827
1623333454,345,0.804175496
1623333461,347,0.815267205
1623333465,348,0.833164692
1623333483,353,0.645801544
1623333487,354,0.701388776
1623333494,356,0.719102383
1623333502,358,0.729495108
1623333505,359,0.732493341
1623333509,360,0.734921336
1623333520,363,0.76758945
1623333524,364,0.77665776
1623333535,367,0.779803157
1623333539,368,0.745350897
1623333546,370,0.790747702
1623333550,371,0.796008468
1623333557,373,0.783665955
1623333572,377,0.796376348
1623333575,378,0.772519112
1623333579,379,0.796615481
1623333586,381,0.769778371
1623333590,382,0.79159385
1623333601,385,0.782856643
1623333605,386,0.794187427
1623333609,387,0.790251076
1623333612,388,0.798473299
1623333620,390,0.783757925
1623333623,391,0.782635868
1623333627,392,0.807284117
1623333631,393,0.78215766
1623333664,402,0.818283796
1623333668,403,0.796964943
1623333675,405,0.819405854
1623333686,408,0.834673047
1623333712,415,0.745111763
1623333715,416,0.712829947
1623333730,420,0.708268166
1623333734,421,0.751145065
1623333738,422,0.754106522
1623333745,424,0.759735107
1623333752,426,0.780483782
1623333767,430,0.789975166
1623333800,439,0.8079831
1623333804,440,0.782948613
1623333808,441,0.802409649
1623333811,442,0.816039741
1623333819,444,0.801894605
1623333822,445,0.812287331
1623333833,448,0.800625384
1623333845,451,0.822955966
1623333870,458,0.826064587
1623333874,459,0.823710084
1623333878,460,0.828253448
1623333882,461,0.838278294
1623333889,463,0.831398904
1623333893,464,0.811919451
1623333896,465,0.818320632
1623333904,467,0.845856726
1623333908,468,0.843870163
1623333911,469,0.845120966
1623333919,471,0.825531125
1623333926,473,0.834231555
1623333930,474,0.661399782
1623333944,478,0.727269411
1623333970,485,0.783003747
1623333981,488,0.788466871
1623333985,489,0.766632915
1623333992,491,0.772574246
1623334000,493,0.795493424
1623334011,496,0.799889624
1623334062,507,0.829246759
1623334073,510,0.834452331
1623334077,511,0.836015821
1623334080,512,0.838094354
1623334088,514,0.840246499
1623334095,516,0.842968822
1623334099,517,0.843833327
1623334106,519,0.845783114
1623334124,524,0.849443555
1623334128,525,0.850363314
1623334151,531,0.856654108
1623334158,533,0.856746078
1623334162,534,0.858364761
1623334166,535,0.860240936
1623334169,536,0.8613078
1623334173,537,0.861914814
1623334177,538,0.862724185
1623334181,539,0.863699079
1623334184,540,0.864287674
1623334188,541,0.865943134
1623334192,542,0.866936445
1623334199,544,0.868739069
1623334211,547,0.871461391
1623334215,548,0.872454703
1623334218,549,0.873705506
1623334226,551,0.87569207
1623334241,555,0.880713701
1623334248,557,0.880253851
1623334256,559,0.874238968
1623334271,563,0.886139989
1623334274,564,0.88402462
1623334278,565,0.882093251
1623334285,567,0.882626712
1623334293,569,0.880897641
1623334300,571,0.885827303
1623334308,573,0.890149891
1623334311,574,0.889377356
1623334322,577,0.890867293
1623334330,579,0.892375588
1623334334,580,0.895134747
1623334337,581,0.895502627
1623334341,582,0.893975914
1623334345,583,0.897084534
1623334349,584,0.897066116
1623334356,586,0.901296794
1623334360,587,0.899126291
1623334378,592,0.903982341
1623334382,593,0.903448939
1623334390,595,0.913032293
1623334393,596,0.916858256
1623334397,597,0.912921906
1623334408,600,0.903522491
1623334416,602,0.903816819
1623334423,604,0.906667888
1623334430,606,0.906631112
1623334438,608,0.914724529
1623334445,610,0.920408368
1623334449,611,0.905564249
1623334453,612,0.920518696
1623334464,615,0.906667888
1623334478,619,0.918017089
1623334482,620,0.911947012
1623334489,622,0.920813024
1623334493,623,0.910714626
1623334501,625,0.925356388
1623334515,629,0.917869925
1623334534,634,0.93028605
1623334560,641,0.918955207
1623334563,642,0.912848353
1623334571,644,0.939133644
1623334575,645,0.929163992
1623334578,646,0.930230856
1623334582,647,0.924859762
1623334586,648,0.933155537
1623334589,649,0.932622075
1623334597,651,0.940954685
1623334600,652,0.928152323
1623334615,656,0.941745579
1623334619,657,0.933431447
1623334626,659,0.927379727
1623334634,661,0.929568648
1623334645,664,0.919856548
1623334652,666,0.934829414
1623334656,667,0.941874385
1623334660,668,0.926809549
1623334671,671,0.90756923
1623334674,672,0.916582346
1623334678,673,0.934755802
1623334682,674,0.927122235
1623334685,675,0.919525445
1623334693,677,0.947098315
1623334697,678,0.942812443
1623334700,679,0.918513775
