Wall time,Step,Value
1623252194,0,0.104507066
1623252194,1,0.111118279
1623252195,2,0.111450225
1623252195,3,0.14546527
1623252195,4,0.269722998
1623252196,5,0.349666208
1623252196,6,0.38072142
1623252196,7,0.403035432
1623252197,8,0.483762413
1623252197,9,0.455713123
1623252198,10,0.478349864
1623252198,11,0.51366502
1623252198,12,0.496800423
1623252199,13,0.522258699
1623252199,14,0.532290757
1623252199,15,0.528574824
1623252200,16,0.54434222
1623252200,17,0.565568149
1623252201,18,0.531350255
1623252201,19,0.57477963
1623252201,20,0.579122543
1623252202,21,0.577804029
1623252202,22,0.589790881
1623252202,23,0.607715845
1623252203,24,0.618540943
1623252203,25,0.619536757
1623252203,26,0.606637061
1623252204,27,0.6362077
1623252204,28,0.646322787
1623252205,29,0.645207107
1623252205,30,0.641380489
1623252205,31,0.637221992
1623252206,32,0.653478026
1623252206,33,0.667585671
1623252206,34,0.671734989
1623252207,35,0.673698962
1623252207,36,0.678078771
1623252208,37,0.681158483
1623252208,38,0.682716787
1623252208,39,0.687124252
1623252209,40,0.687834263
1623252209,41,0.687944889
1623252209,42,0.693947554
1623252210,43,0.691845238
1623252210,44,0.695551932
1623252211,45,0.69214952
1623252211,46,0.6943717
1623252211,47,0.690333068
1623252212,48,0.699894905
1623252212,49,0.701462388
1623252212,50,0.70247668
1623252213,51,0.702661097
1623252213,52,0.7031129
1623252214,53,0.703140557
1623252214,54,0.701619148
1623252214,55,0.700669408
1623252215,56,0.702034056
1623252215,57,0.699636698
1623252215,58,0.695072472
1623252216,59,0.701619148
1623252216,60,0.702605784
1623252216,61,0.706118822
1623252217,62,0.706441581
1623252217,63,0.700798512
1623252217,64,0.706874907
1623252218,65,0.707151532
1623252218,66,0.709373713
1623252219,67,0.71121788
1623252219,68,0.709880888
1623252219,69,0.710784495
1623252220,70,0.710793734
1623252220,71,0.712914467
1623252220,72,0.712868392
1623252221,73,0.713624477
1623252221,74,0.713965654
1623252221,75,0.713956416
1623252222,76,0.714546502
1623252222,77,0.71391952
1623252223,78,0.714325249
1623252223,79,0.715800524
1623252223,80,0.716298461
1623252224,81,0.716888607
1623252224,82,0.716870129
1623252224,83,0.716667295
1623252225,84,0.715791345
1623252225,85,0.714684844
1623252225,86,0.715477824
1623252226,87,0.716261566
1623252226,88,0.716934681
1623252227,89,0.716261566
1623252227,90,0.716326118
1623252227,91,0.719350517
1623252228,92,0.718428433
1623252228,93,0.718262434
1623252228,94,0.717838287
1623252229,95,0.721674085
1623252229,96,0.71980232
1623252230,97,0.71956259
1623252230,98,0.7164644
1623252230,99,0.718594372
1623252231,100,0.721996844
1623252231,101,0.722125888
1623252232,102,0.718788028
1623252232,103,0.712398112
1623252232,104,0.716999233
1623252233,105,0.712564111
1623252233,106,0.72155422
1623252233,107,0.722716033
1623252234,108,0.72465241
1623252234,109,0.726542592
1623252235,110,0.719977498
1623252235,111,0.728561938
1623252235,112,0.720779717
1623252236,113,0.722688377
1623252236,114,0.726551831
1623252236,115,0.721572697
1623252237,116,0.727842748
1623252237,117,0.725712776
1623252238,118,0.724089921
1623252238,119,0.728359103
1623252238,120,0.720392406
1623252239,121,0.728589594
1623252239,122,0.722799003
1623252239,123,0.728414416
1623252240,124,0.72417289
1623252240,125,0.725122631
1623252240,126,0.71876961
1623252241,127,0.717155993
1623252241,128,0.72504884
1623252242,129,0.722633064
1623252242,130,0.714352906
1623252242,131,0.714500427
1623252243,132,0.72568512
1623252243,133,0.727234185
1623252243,134,0.727040529
1623252244,135,0.728183925
1623252244,136,0.727815092
1623252244,137,0.719636321
1623252245,138,0.720235705
1623252245,139,0.734112799
1623252246,140,0.726256788
1623252246,141,0.726164579
1623252246,142,0.728377521
1623252247,143,0.727962613
1623252247,144,0.734149694
1623252248,145,0.734094322
1623252248,146,0.728709459
1623252248,147,0.721102417
1623252249,148,0.734776676
1623252249,149,0.734896541
1623252249,150,0.726339757
1623252250,151,0.734315634
1623252250,152,0.740530372
1623252251,153,0.735717177
1623252251,154,0.738142192
1623252251,155,0.740502715
1623252252,156,0.738916755
1623252252,157,0.742918551
1623252252,158,0.742273092
1623252253,159,0.740954518
1623252253,160,0.740060091
1623252253,161,0.738446474
1623252254,162,0.735781729
1623252254,163,0.733900726
1623252255,164,0.736030698
1623252255,165,0.739442348
1623252255,166,0.741360247
1623252256,167,0.741627634
1623252256,168,0.741443217
1623252256,169,0.740014017
1623252257,170,0.741194248
1623252257,171,0.738806129
1623252257,172,0.741424799
1623252258,173,0.740917623
1623252258,174,0.738363504
1623252259,175,0.740345955
1623252259,176,0.74387747
1623252259,177,0.742881656
1623252260,178,0.741231143
1623252260,179,0.74094528
1623252260,180,0.74253124
1623252261,181,0.738981307
1623252261,182,0.734334111
1623252261,183,0.729862034
1623252262,184,0.738520265
1623252262,185,0.733006299
1623252263,186,0.73029542
1623252263,187,0.72282666
1623252263,188,0.729474783
1623252264,189,0.744522929
1623252264,190,0.734868884
1623252264,191,0.743001521
1623252265,192,0.743001521
1623252265,193,0.745804608
1623252266,194,0.747261465
1623252266,195,0.744624376
1623252266,196,0.745288253
1623252267,197,0.746367037
1623252267,198,0.743425667
1623252267,199,0.740106225
1623252268,200,0.742107093
1623252268,201,0.75079298
1623252268,202,0.751502991
1623252269,203,0.74769485
1623252269,204,0.742328405
1623252270,205,0.740631819
1623252270,206,0.747307539
1623252270,207,0.751816452
1623252271,208,0.747344434
1623252271,209,0.742466688
1623252271,210,0.743038416
1623252272,211,0.753697515
1623252272,212,0.753181159
1623252272,213,0.745518744
1623252273,214,0.747722507
1623252273,215,0.750737667
1623252274,216,0.750267386
1623252274,217,0.750092208
1623252274,218,0.750691533
1623252275,219,0.748976529
1623252275,220,0.752295971
1623252275,221,0.756408393
1623252276,222,0.753116608
1623252276,223,0.751954794
1623252276,224,0.749861717
1623252277,225,0.745564878
1623252277,226,0.742180884
1623252277,227,0.754158497
1623252278,228,0.751171052
1623252278,229,0.74499315
1623252279,230,0.754591882
1623252279,231,0.76009661
1623252279,232,0.752932191
1623252280,233,0.746090412
1623252280,234,0.754103184
1623252280,235,0.758400023
1623252281,236,0.751327753
1623252281,237,0.748312593
1623252281,238,0.756740332
1623252282,239,0.754481256
1623252282,240,0.751871824
1623252283,241,0.754167736
1623252283,242,0.755901217
1623252283,243,0.757367313
1623252284,244,0.756721854
1623252284,245,0.755753696
1623252284,246,0.760539234
1623252285,247,0.760336399
1623252285,248,0.760751307
1623252285,249,0.761470497
1623252286,250,0.759303629
1623252286,251,0.758141875
1623252287,252,0.755357206
1623252287,253,0.760686755
1623252287,254,0.761931539
1623252288,255,0.76080662
1623252288,256,0.763462186
1623252288,257,0.757634699
1623252289,258,0.75294137
1623252289,259,0.754969954
1623252289,260,0.759368181
1623252290,261,0.755836666
1623252290,262,0.755661488
1623252290,263,0.756943166
1623252291,264,0.755578518
1623252291,265,0.75850147
1623252292,266,0.758012772
1623252292,267,0.760603786
1623252292,268,0.762355685
1623252293,269,0.758805752
1623252293,270,0.762558579
1623252293,271,0.761848569
1623252294,272,0.759580255
1623252294,273,0.762927353
1623252294,274,0.768192351
1623252295,275,0.764863729
1623252295,276,0.765066564
1623252296,277,0.764356554
1623252296,278,0.767519295
1623252296,279,0.765057325
1623252297,280,0.763065696
1623252297,281,0.767390192
1623252297,282,0.768072486
1623252298,283,0.767694473
