Wall time,Step,Value
1623844065,5,0.728171051
1623844103,6,0.715747237
1623844252,10,0.68027252
1623844289,11,0.733974695
1623844363,13,0.752753377
1623844401,14,0.762481093
1623844438,15,0.771774054
1623844512,17,0.808642387
1623844549,18,0.786800861
1623844587,19,0.781332314
1623844624,20,0.82727766
1623844772,24,0.804693222
1623845106,33,0.853835523
1623845143,34,0.853432417
1623845218,36,0.883338034
1623845329,39,0.877810836
1623845366,40,0.875708699
1623845441,42,0.888862431
1623845515,44,0.891165614
1623845552,45,0.893137455
1623845627,47,0.880507886
1623845701,49,0.89431417
1623845738,50,0.89427042
1623845850,53,0.848979533
1623845887,54,0.892933547
1623845924,55,0.886276186
1623845962,56,0.904223442
1623845999,57,0.896799862
1623846110,60,0.900063872
1623846147,61,0.901177287
1623846222,63,0.908949971
1623846296,65,0.842345476
1623846333,66,0.87675792
1623846370,67,0.88473171
1623846407,68,0.908324361
1623846519,71,0.91171962
1623846556,72,0.911785722
1623846593,73,0.914419472
1623846631,74,0.910512149
1623846705,76,0.918001831
1623846816,79,0.884780109
1623847002,84,0.882971227
1623847039,85,0.910079241
1623847076,86,0.904002786
1623847113,87,0.913545251
1623847150,88,0.919133902
1623847187,89,0.85922116
1623847373,94,0.919308007
1623847671,102,0.92746985
1623847783,105,0.939740956
1623847820,106,0.893719316
1623848079,113,0.935004175
1623848191,116,0.935900688
1623848265,118,0.940932631
1623848302,119,0.943825126
1623848339,120,0.945498109
1623848488,124,0.870011151
1623848525,125,0.903973043
1623848562,126,0.929691136
1623848673,129,0.934353411
1623848711,130,0.938607037
1623848822,133,0.948521912
1623848970,137,0.869685292
1623849045,139,0.846740544
1623849119,141,0.871641278
1623849156,142,0.88853097
1623849193,143,0.90425694
1623849230,144,0.917395771
1623849379,148,0.942074895
1623849453,150,0.873419464
1623849564,153,0.936917305
1623849602,154,0.94269681
1623849639,155,0.948043346
1623849713,157,0.956376493
1623849750,158,0.889045835
1623849788,159,0.856958926
1623849899,162,0.917852879
1623849973,164,0.926073372
1623850010,165,0.929960191
1623850085,167,0.92925173
1623850122,168,0.93221873
1623850233,171,0.935413837
1623850419,176,0.945654511
1623850456,177,0.94843626
1623850493,178,0.950715244
1623850567,180,0.939757705
1623850605,181,0.947080731
1623850679,183,0.960918725
1623850753,185,0.867747962
1623850790,186,0.882931173
1623850827,187,0.889488041
1623850865,188,0.896791518
1623850939,190,0.919631958
1623850976,191,0.940777123
1623851236,198,0.904661953
1623851385,202,0.95459646
1623851533,206,0.95466727
1623851570,207,0.95538038
1623851607,208,0.956888556
1623851756,212,0.967215836
1623851867,215,0.916953564
1623851979,218,0.954407513
1623852016,219,0.956488252
1623852127,222,0.900645733
1623852164,223,0.885308862
1623852238,225,0.93296349
1623852275,226,0.946173966
1623852312,227,0.953592896
1623852386,229,0.958332479
1623852423,230,0.911183417
1623852498,232,0.931485116
1623852535,233,0.941558242
1623852572,234,0.945309103
1623852683,237,0.950026333
1623852794,240,0.956169844
1623852980,245,0.968230605
1623853054,247,0.968277097
1623853129,249,0.969024718
1623853166,250,0.970085979
1623853351,255,0.837843299
1623853463,258,0.8584131
1623853500,259,0.836889982
1623853537,260,0.861485302
1623853574,261,0.885483921
1623853648,263,0.927431643
1623853797,267,0.954437315
1623853871,269,0.961437285
1623853945,271,0.964645386
1623854019,273,0.940405667
1623854205,278,0.962249994
1623854279,280,0.909846544
1623854427,284,0.928243458
1623854613,289,0.934934378
1623854687,291,0.938514888
1623854724,292,0.938845396
1623854836,295,0.936631501
1623854910,297,0.927587152
1623854947,298,0.936598003
1623854984,299,0.924266338
1623855058,301,0.935465932
1623855095,302,0.890315652
1623855132,303,0.918431938
1623855281,307,0.943534672
1623855318,308,0.942690313
1623855392,310,0.927087188
1623855504,313,0.946133018
1623855652,317,0.94352442
1623855689,318,0.901201487
1623855726,319,0.865459621
1623855763,320,0.900385976
1623855838,322,0.939410448
1623855949,325,0.936789811
1623855986,326,0.944552243
1623856023,327,0.945820212
1623856135,330,0.944773793
1623856172,331,0.93860054
1623856246,333,0.946500778
1623856469,339,0.933573306
1623856543,341,0.950718999
1623856655,344,0.95760262
1623856692,345,0.95477432
1623856766,347,0.939058542
1623856803,348,0.956480801
1623856989,353,0.911175013
1623857026,354,0.934785426
1623857100,356,0.94905442
1623857174,358,0.955517232
