Wall time,Step,Value
1623173701.796077,0,0.06438664346933365
1623173702.780217,1,0.07450224459171295
1623173703.69008,2,0.06526974588632584
1623173704.674759,3,0.13447335362434387
1623173705.785203,4,0.2321772575378418
1623173706.773905,5,0.294717401266098
1623173707.6812,6,0.274807333946228
1623173708.662276,7,0.4305555522441864
1623173709.584191,8,0.32707127928733826
1623173710.493144,9,0.29206809401512146
1623173711.407604,10,0.37098586559295654
1623173712.322491,11,0.42068079113960266
1623173713.304701,12,0.40751445293426514
1623173714.294864,13,0.4206005036830902
1623173715.20207,14,0.47695890069007874
1623173716.186828,15,0.5085902214050293
1623173717.163912,16,0.4569685161113739
1623173718.069958,17,0.48964354395866394
1623173719.060892,18,0.3558124601840973
1623173719.966413,19,0.32361912727355957
1623173720.873944,20,0.29993578791618347
1623173721.78601,21,0.3784521520137787
1623173722.693723,22,0.35894349217414856
1623173723.604716,23,0.421162486076355
1623173724.513596,24,0.46764612197875977
1623173725.424351,25,0.4542389214038849
1623173726.330722,26,0.5309088230133057
1623173727.312031,27,0.5990687012672424
1623173728.292926,28,0.6049293279647827
1623173729.215747,29,0.6587989926338196
1623173730.130135,30,0.5412652492523193
1623173731.043301,31,0.5943320393562317
1623173731.957777,32,0.45897558331489563
1623173732.945917,33,0.6021194458007812
1623173733.938214,34,0.5068240165710449
1623173734.850462,35,0.34698137640953064
1623173735.77277,36,0.38776493072509766
1623173736.680324,37,0.47141939401626587
1623173737.588963,38,0.4609023630619049
1623173738.506922,39,0.503933846950531
1623173739.416601,40,0.5399004220962524
1623173740.336007,41,0.5450385212898254
1623173741.243834,42,0.6096660494804382
1623173742.151769,43,0.6187379360198975
1623173743.060949,44,0.6560693383216858
1623173743.973327,45,0.6341522336006165
1623173744.880347,46,0.6404142379760742
1623173745.786665,47,0.5537893176078796
1623173746.702833,48,0.6163294911384583
1623173747.624223,49,0.5178227424621582
1623173748.541894,50,0.3745183050632477
1623173749.45712,51,0.36103081703186035
1623173750.364671,52,0.45279383659362793
1623173751.271247,53,0.44267821311950684
1623173752.179814,54,0.5144508481025696
1623173753.086762,55,0.5240045189857483
1623173754.017097,56,0.5758670568466187
1623173754.924993,57,0.5566794872283936
1623173755.83755,58,0.6030828356742859
1623173756.749395,59,0.5981855988502502
1623173757.65555,60,0.614723801612854
1623173758.56647,61,0.6351156234741211
1623173759.471787,62,0.6438664197921753
1623173760.38116,63,0.6430636048316956
