Wall time,Step,Value
1623245403,5,0.336162835
1623245404,6,0.402427882
1623245406,10,0.482201546
1623245407,11,0.379700631
1623245408,13,0.417853236
1623245409,14,0.471978813
1623245410,15,0.505932808
1623245411,17,0.517889738
1623245411,18,0.414384812
1623245412,19,0.410642564
1623245413,20,0.463307768
1623245415,24,0.572197855
1623245420,33,0.578130722
1623245421,34,0.617652416
1623245422,36,0.573932111
1623245424,39,0.540616989
1623245425,40,0.571011305
1623245426,42,0.621394694
1623245427,44,0.634903252
1623245428,45,0.602409661
1623245429,47,0.568820715
1623245430,49,0.624132872
1623245431,50,0.667670667
1623245432,53,0.582055509
1623245433,54,0.549744427
1623245434,55,0.606425703
1623245434,56,0.594286263
1623245435,57,0.610715568
1623245437,60,0.616922259
1623245438,61,0.635542154
1623245439,63,0.663198233
1623245440,65,0.619751751
1623245440,66,0.640288413
1623245441,67,0.686381876
1623245442,68,0.646768868
1623245443,71,0.661372781
1623245444,72,0.689576507
1623245445,73,0.674972594
1623245445,74,0.636637449
1623245446,76,0.577674329
1623245448,79,0.494158447
1623245451,84,0.622124851
1623245452,85,0.630978465
1623245452,86,0.655622482
1623245453,87,0.654709756
1623245453,88,0.639375687
1623245454,89,0.636820018
1623245457,94,0.680905461
1623245462,102,0.691219449
1623245464,105,0.667305589
1623245464,106,0.679718852
1623245468,113,0.655531228
1623245470,116,0.649507105
1623245471,118,0.676615536
1623245472,119,0.697243512
1623245473,120,0.6715042
1623245475,124,0.694322765
1623245476,125,0.711938679
1623245476,126,0.722982824
1623245478,129,0.714311779
1623245479,130,0.720883548
1623245480,133,0.703450143
1623245483,137,0.730923712
1623245484,139,0.702719986
1623245485,141,0.699251533
1623245486,142,0.68565172
1623245486,143,0.707192421
1623245487,144,0.731927693
1623245489,148,0.71294266
1623245490,150,0.69541806
1623245492,153,0.732110262
1623245493,154,0.731653869
1623245493,155,0.731927693
1623245494,157,0.700711966
1623245495,158,0.682000756
1623245496,159,0.700711966
1623245498,162,0.592917144
1623245499,164,0.578130722
1623245499,165,0.506115377
1623245501,167,0.610441744
1623245501,168,0.576031387
1623245503,171,0.671778023
1623245506,176,0.678806126
1623245506,177,0.685742974
1623245507,178,0.706918597
1623245508,180,0.699434102
1623245509,181,0.708013892
1623245510,183,0.717232585
1623245511,185,0.637093842
1623245512,186,0.649872243
1623245512,187,0.673055887
1623245513,188,0.70536691
1623245514,190,0.699981749
1623245515,191,0.71513325
1623245519,198,0.710295737
