Wall time,Step,Value
1623090879.759452,0,0.047172967344522476
1623090880.644449,1,0.09317497164011002
1623090881.529168,2,0.1712111085653305
1623090882.53592,3,0.23921044170856476
1623090883.350562,4,0.24021412432193756
1623090884.233035,5,0.26145869493484497
1623090885.11847,6,0.255269318819046
1623090885.93235,7,0.1995650678873062
1623090886.74635,8,0.27676481008529663
1623090887.560974,9,0.2677316963672638
1623090888.376155,10,0.308464378118515
1623090889.261673,11,0.35948479175567627
1623090890.076611,12,0.36734694242477417
1623090890.966344,13,0.4045667350292206
1623090891.855626,14,0.41276347637176514
1623090892.741039,15,0.4049849510192871
1623090893.626341,16,0.38357311487197876
1623090894.5126,17,0.3916025459766388
1623090895.329928,18,0.31264635920524597
1623090896.147445,19,0.37596186995506287
1623090896.96519,20,0.43810638785362244
1623090897.783205,21,0.48084643483161926
1623090898.601792,22,0.46311476826667786
1623090899.41943,23,0.46997323632240295
1623090900.24294,24,0.5102040767669678
1623090901.065103,25,0.4932251572608948
1623090901.886819,26,0.45809635519981384
1623090902.786921,27,0.4222984313964844
1623090903.609967,28,0.39268985390663147
1623090904.430378,29,0.35781198740005493
1623090905.261575,30,0.468802273273468
1623090906.082473,31,0.511960506439209
1623090906.901221,32,0.4739043116569519
1623090907.721607,33,0.5235028266906738
1623090908.564587,34,0.5172298550605774
1623090909.383048,35,0.6156741380691528
1623090910.276622,36,0.587654709815979
1623090911.093864,37,0.5516058802604675
1623090911.915503,38,0.5602208375930786
1623090912.732875,39,0.5051856637001038
1623090913.550712,40,0.4792572855949402
1623090914.368898,41,0.45374706387519836
1623090915.185496,42,0.44647037982940674
1623090916.07774,43,0.540398120880127
1623090916.895733,44,0.5079457759857178
1623090917.713318,45,0.5956841707229614
1623090918.532891,46,0.5854800939559937
1623090919.35828,47,0.6007025837898254
1623090920.248146,48,0.6400970220565796
1623090921.065097,49,0.6422716379165649
1623090921.967795,50,0.5930076837539673
1623090922.809489,51,0.5917530655860901
1623090923.626146,52,0.5575443506240845
1623090924.444461,53,0.566493809223175
1623090925.2751,54,0.6520575284957886
1623090926.113312,55,0.6800769567489624
1623090926.936573,56,0.6794914603233337
1623090927.828889,57,0.6368350386619568
1623090928.647614,58,0.47097691893577576
1623090929.46219,59,0.43576446175575256
1623090930.278797,60,0.5248410701751709
1623090931.095641,61,0.5057711601257324
1623090931.911689,62,0.6040481925010681
1623090932.727705,63,0.5550351142883301
1623090933.544752,64,0.5575443506240845
1623090934.36559,65,0.5035965442657471
1623090935.201846,66,0.531699538230896
1623090936.01804,67,0.6282201409339905
1623090936.835151,68,0.6134158372879028
1623090937.651667,69,0.6221144199371338
1623090938.467398,70,0.6118267178535461
1623090939.28368,71,0.6363332271575928
1623090940.110309,72,0.6210271120071411
1623090940.929465,73,0.6214452981948853
1623090941.745235,74,0.6301438808441162
1623090942.562821,75,0.6364168524742126
1623090943.37823,76,0.6554867625236511
1623090944.198678,77,0.6648544669151306
1623090945.01448,78,0.6600033640861511
1623090945.832022,79,0.6506356596946716
1623090946.648848,80,0.634409487247467
1623090947.465202,81,0.6139177083969116
1623090948.281399,82,0.5873201489448547
1623090949.096916,83,0.5968551635742188
1623090949.913581,84,0.6231181025505066
1623090950.730339,85,0.6244563460350037
1623090951.546114,86,0.702743411064148
1623090952.363845,87,0.7091000080108643
1623090953.186213,88,0.6825025081634521
1623090954.012205,89,0.6293074488639832
1623090954.827639,90,0.6272164583206177
1623090955.644052,91,0.6421880125999451
1623090956.53902,92,0.6815824508666992
1623090957.354222,93,0.6841753125190735
1623090958.169939,94,0.6945466995239258
1623090958.985596,95,0.7130311131477356
1623090959.87406,96,0.718300461769104
1623090960.692427,97,0.6971395015716553
1623090961.507982,98,0.6648544669151306
1623090962.323825,99,0.6574105024337769
1623090963.139905,100,0.6485446691513062
1623090963.955792,101,0.6318166851997375
1623090964.772607,102,0.667029082775116
1623090965.591385,103,0.6891100406646729
1623090966.407794,104,0.6947139501571655
1623090967.223651,105,0.6993978023529053
1623090968.039537,106,0.6945466995239258
1623090968.928865,107,0.6936266422271729
1623090969.744731,108,0.6673636436462402
1623090970.560969,109,0.6788223385810852
1623090971.374926,110,0.6804115176200867
1623090972.189779,111,0.668367326259613
1623090973.006421,112,0.6533957719802856
1623090973.821285,113,0.6420207619667053
1623090974.637906,114,0.6769822835922241
1623090975.453821,115,0.6855135560035706
1623090976.284292,116,0.704583466053009
1623090977.105864,117,0.7409668564796448
1623090977.921925,118,0.7303445935249329
1623090978.813222,119,0.7316828370094299
1623090979.63,120,0.7245734333992004
1623090980.521328,121,0.733021080493927
1623090981.349995,122,0.7484945058822632
1623090982.186009,123,0.722482442855835
1623090983.016025,124,0.7241552472114563
1623090983.919915,125,0.7318500876426697
1623090984.735673,126,0.7283372282981873
1623090985.562199,127,0.6709601879119873
1623090986.382589,128,0.6998996138572693
1623090987.206308,129,0.7084308862686157
1623090988.021697,130,0.7056707739830017
1623090988.839158,131,0.6951321363449097
1623090989.655301,132,0.7131984233856201
1623090990.470951,133,0.7291736602783203
1623090991.285622,134,0.7507527470588684
1623090992.100766,135,0.7625460028648376
1623090992.991347,136,0.6915356516838074
1623090993.806215,137,0.5000836253166199
1623090994.62203,138,0.41677817702293396
1623090995.44416,139,0.36968886852264404
1623090996.260227,140,0.3885078728199005
1623090997.07614,141,0.4043158292770386
1623090997.890781,142,0.42714953422546387
1623090998.706849,143,0.5310304164886475
1623090999.524048,144,0.5143860578536987
1623091000.341806,145,0.5382235050201416
1623091001.156915,146,0.5525259375572205
1623091001.973019,147,0.6210271120071411
1623091002.78767,148,0.6932084560394287
1623091003.603467,149,0.688524603843689
1623091004.429344,150,0.5669956803321838
1623091005.24532,151,0.44136834144592285
1623091006.061951,152,0.5048511028289795
1623091006.876001,153,0.5451655983924866
1623091007.690866,154,0.5782870650291443
1623091008.524977,155,0.6462027430534363
1623091009.359113,156,0.651806652545929
1623091010.174114,157,0.6391769647598267
1623091010.989303,158,0.6659417748451233
1623091011.818924,159,0.6936266422271729
1623091012.64912,160,0.6702074408531189
1623091013.465108,161,0.6620107293128967
1623091014.281039,162,0.6639344096183777
1623091015.112834,163,0.6774004697799683
1623091015.931092,164,0.6688691973686218
1623091016.747638,165,0.6583305597305298
1623091017.564887,166,0.6838407516479492
1623091018.380599,167,0.7151221036911011
1623091019.269578,168,0.7529274225234985
1623091020.086158,169,0.7219805717468262
1623091020.901683,170,0.7156239748001099
1623091021.718331,171,0.7225660681724548
1623091022.533549,172,0.7019069790840149
1623091023.349477,173,0.7311810255050659
1623091024.164881,174,0.7305955290794373
1623091024.981604,175,0.6969722509384155
1623091025.804258,176,0.7001505494117737
1623091026.620793,177,0.6702910661697388
1623091027.438859,178,0.6584978103637695
1623091028.258804,179,0.6583305597305298
1623091029.082539,180,0.6569086909294128
1623091029.907192,181,0.6411007046699524
1623091030.724604,182,0.65138840675354
1623091031.543746,183,0.701823353767395
1623091032.360172,184,0.6946303248405457
1623091033.177398,185,0.6947975754737854
1623091033.995062,186,0.7251589298248291
1623091034.821283,187,0.7467380166053772
1623091035.635111,188,0.7254098653793335
1623091036.523985,189,0.7062562704086304
1623091037.353439,190,0.7295082211494446
1623091038.191103,191,0.7423887848854065
1623091039.011105,192,0.7479926347732544
1623091039.853315,193,0.7419705390930176
1623091040.673707,194,0.7443960905075073
1623091041.489748,195,0.7621278166770935
1623091042.30597,196,0.7687353491783142
1623091043.121955,197,0.7368685007095337
1623091043.936455,198,0.6357477307319641
1623091044.753083,199,0.6282201409339905
1623091045.571775,200,0.6421043872833252
1623091046.388987,201,0.7154566645622253
1623091047.20567,202,0.6997323632240295
1623091048.022223,203,0.7241552472114563
1623091048.841506,204,0.7171294689178467
1623091049.65912,205,0.7336902022361755
1623091050.476651,206,0.7585312724113464
1623091051.294224,207,0.7612077593803406
1623091052.112619,208,0.7676480412483215
1623091052.929186,209,0.7744228839874268
1623091053.818289,210,0.7694044709205627
1623091054.633796,211,0.7336902022361755
1623091055.456024,212,0.7390431761741638
1623091056.275088,213,0.7339411377906799
1623091057.091908,214,0.7313482761383057
1623091057.906052,215,0.7525928616523743
1623091058.720366,216,0.7671462297439575
1623091059.53495,217,0.7649715542793274
1623091060.353212,218,0.7724155187606812
1623091061.168568,219,0.7739210724830627
1623091061.983389,220,0.6967213153839111
1623091062.800478,221,0.7358648180961609
1623091063.617053,222,0.7171294689178467
1623091064.432343,223,0.7178822159767151
1623091065.249155,224,0.7336065769195557
1623091066.065064,225,0.7488290667533875
1623091066.885395,226,0.7551020383834839
1623091067.704715,227,0.7636333107948303
1623091068.526383,228,0.7648879289627075
1623091069.349299,229,0.7090163826942444
1623091070.166994,230,0.7278354167938232
1623091070.987717,231,0.7206423282623291
1623091071.822134,232,0.7116092443466187
1623091072.641471,233,0.7240716218948364
1623091073.457349,234,0.75225830078125
1623091074.272872,235,0.7746738195419312
1623091075.088305,236,0.7296754717826843
1623091075.90887,237,0.6768149733543396
